番号,単語,読み方（ひらがな）,翻訳,備考,例文,言語
11,,,သ သ သလ်းန လဲ့   ွတ်သွာ်းသသာလုပ်ငန််း ွင်မသတာ်တ ဆခဖစ်မှု,,,ミャンマー語
"だい       か         かつどう
第10課 KY活動",,,,,,ミャンマー語
သင ခန ်းစာ ၁၀။ KY လှုြ ရှာ်းမှု,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
12,,,အသကကာင််းရင််း,,,ミャンマー語
13,,,သဆာင်ရွက်မှု၊စ မ   က်,,,ミャンマー語
14,,,ခပြုံတ်က သည်,,,ミャンマー語
15,,,အခမင်ဲ့မ က သည်,,,ミャンマー語
16,,,အတည်ခပြုံစစ်သဆ်းသည်,,,ミャンマー語
"だい       か   ふくそう   ぎょうむ   じっしゅう
第11課 服装・業務・実習",,,,,,ミャンマー語
သင ခန ်းစာ ၁၁။ အ တ အစာ်း၊လိုြ ငန ်း၊လက ခတွွေ့,,,,,,ミャンマー語
"けんせつ       しょくば                  か    こ         けいけん                はたら   ひと        じ    こ                                  まも
建設の職場には、過去の経験から、働く人を事故やけがから守るためのルールがあります。
おも                                                           みな                  じ  ぶ  ん        な  か  ま       あんぜん                          かなら     まも
めんどうだと思うかもしれませんが、皆さんも自分や仲間の安全のために必ず守ってください。",,,,,,ミャンマー語
သဆာက်လုပ်သရ်းလုပ်ငန််းတွင်၊ ယ င်အသတွွဲ့အကက ြုံမ ာ်းအရ၊ အလုပ်လုပ်သနသူကုှိ မသတာ်တဆခဖစ်မှုန္ င်ဲ့ ဒဏ်ရာရမှုမ ာ်းမ  ကာကွယ်ရန်အတွက်  စည််းမ ဥ််းစည််းကမ််းမ ာ်းရှိ သည်။ ကရှိကထမ ာ်းသည်ဟု ထင်ရသသာ်လည််း၊ သင်တှိုဲ့ကှိုယ်တုှိင်န္ င်ဲ့ မှိတ်သဆွမ ာ်း၏ သေ်းအန္တရာယ်ကင််းရ င််းလု ခ  ြုံစှိတ်  ရသရ်း အတွက် မပ က်မကွက်လုှိက်နာကကပါ။,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
1,,,အလုပ်သမာ်းဝတ်စု ,,,ミャンマー語
2,,,အလုပ်သမာ်းဝတ်စု ,,,ミャンマー語
3,,,လုပ်ငန််း ွင်ဖှိနပ်,,,ミャンマー語
4,,,လက်အှိတ်,,,ミャンマー語
5,,,ဥ ်းထုပ်,,,ミャンマー語
6,,,"ကာကွယ်သရ်းဥ ်းထုပ်
(Helmet)",,,ミャンマー語
7,,,လု ခ  ြုံသရ်းပစစည််း,,,ミャンマー語
8,,,သမ်းသှိုင််းကကှိြုံ်း,,,ミャンマー語
9,,,ကကယ်သ ်း (Button),,,ミャンマー語
10,,,အှိတ်ကပ်,,,ミャンマー語
11,,,ကာကွယ်သရ်းမ က်မ န်,,,ミャンマー語
12,,,မ က်န္ ာဖု ်း (Mask),,,ミャンマー語
13,,,နာ်းသပါက်အဆှိုဲ့,,,ミャンマー語
14,,,သခ သထာက်ကုှိ ကာကွယ်သည်ဲ့ဖှိနပ်,,,ミャンマー語
15,,,"ခပြုံတ်က မှုမ ကာကွယ်သရ်း
ပစစည််း (လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်း)",,,ミャンマー語
"だい       か   ふくそう   ぎょうむ   じっしゅう
第11課 服装・業務・実習",,,,,,ミャンマー語
သင ခန ်းစာ ၁၁။ အ တ အစာ်း၊လိုြ ငန ်း၊လက ခတွွေ့,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
16,,,လုပ်ငန််း,,,ミャンマー語
17,,,အ ှိ န်ကှို တှိတှိက က လှိုက်နာခ င််း,,,ミャンマー語
18,,,ကကှိြုံတင်စ စဥ်  က်,,,ミャンマー語
19,,,ရက်စွ ,,,ミャンマー語
20,,,အသင်ဲ့ခပင်(သည်),,,ミャンマー語
21,,,အစည််းအသဝ်း,,,ミャンマー語
22,,,န နက် င််းလူစုအမ ာစကာ်း သခပာခ င််း,,,ミャンマー語
23,,,အစ ရင်  စာ,,,ミャンマー語
24,,,လက်စွ စာသစာင် (Manual),,,ミャンマー語
25,,,"လုပ်ငန််းလုပ်သဆာင်ပု 
အဆင်ဲ့ဆင်ဲ့စာအုပ်",,,ミャンマー語
26,,,(က န််းမာသရ်း)အသခ အသန,,,ミャンマー語
"だい       か   ひょうしき
第12課 標識",,,,,,ミャンマー語
သင ခန ်းစာ ၁၂။ အမှတ အသာ်း/ဆို င ်းဘိုတ ,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
1,,,မဝင်ရ,,,ミャンマー語
2,,,သဆ်းလှိပ်မသသာက်ရ,,,ミャンマー語
3,,,မ ်းသတှိခပြုံ,,,ミャンマー語
4,,,ကာ်းမရပ်ရ,,,ミャンマー語
5,,,သခ သထာက်အန ်းတဝှိုက် သတှိခပြုံ,,,ミャンマー語
6,,,အသပါက်ရှိ သည်သတှိခပြုံ,,,ミャンマー語
7,,,ဓာတ်လှိုက်တတ်သည် သတှိခပြုံ,,,ミャンマー語
8,,,ခပြုံတ်က တတ်သည် သတှိခပြုံ,,,ミャンマー語
9,,,သ ါင််းအသပေါ်သတှိထာ်းပါ,,,ミャンマー語
10,,,သတှိသပ်းသ ါင််းသလာင််း သနရာ,,,ミャンマー語
"だい       か   ひょうしき
第12課 標識",,,,,,ミャンマー語
သင ခန ်းစာ ၁၂။ အမှတ အသာ်း/ဆို င ်းဘိုတ ,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
11,,,မ ်းသတ်ေူ်း,,,ミャンマー語
12,,,န္ လု ်းန္ှိှု်းစက်ထာ်းသည်ဲ့သနရာ,,,ミャンマー語
13,,,ကာကွယ်သရ်းဥ ်းထုပ် သဆာင််းပါ,,,ミャンマー語
14,,,လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်းသု ်းပါ,,,ミャンマー語
15,,,ခငမ််းအတွင််းရှိ သလ ကာ်း,,,ミャンマー語
16,,,နာ်းသနရန်သနရာ,,,ミャンマー語
17,,,အမ ာ်းဆု ်းတင်န္ှိုင်သည်ဲ့ ကုန်အသလ်း ှိ န်,,,ミャンマー語
18,,,သဆ်းလှိပ်သသာက်ရန်သနရာ,,,ミャンマー語
19,,,သန်ဲ့ရ င််းသပ်ရပ်သနသအာင် အစ အစဥ်တက လုပ်ပါ,,,ミャンマー語
20,,,အန္တရာယ်ကင််းသည်ဲ့ သလျှာက်လမ််းသကကာင််း,,,ミャンマー語
"だい       か
第13課 とび①",,,,,,ミャンマー語
သင ခန ်းစာ ၁၃။ ခဆာက လိုြ ခရ်းလိုြ ငန ်းဆို င ရာ အ မင့် ြို င ်းအလိုြ   (၁),,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
1,,,၃  ုဆက်ညြှပ်,,,ミャンマー語
2,,,သရွွဲ့လ ာ်းစက် ါ်းပတ် (Belt conveyor),,,ミャンマー語
3,,,သစ်သာ်းတူအကက ်းစာ်း,,,ミャンマー語
4,,,သခမဖှိစက် (Rammer),,,ミャンマー語
5,,,လ ည်ဲ့၍ရသသာ ညြှပ် (Adjustable/Movable clamp),,,ミャンマー語
6,,,ဖမ််းညြှပ်ကှိရှိယာ (Catch clamp),,,ミャンマー語
7,,,မ   ရာတွင်သု ်းသသာ ညြှပ်,,,ミャンマー語
"だい       か
第13課 とび①",,,,,,ミャンマー語
သင ခန ်းစာ ၁၃။ ခဆာက လိုြ ခရ်းလိုြ ငန ်းဆို င ရာ အ မင့် ြို င ်းအလိုြ   (၁),,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
8,,,ရုှိက်သထာင်ဲ့မ န်က သသာ ညြှပ် (Orthogonal clamp),,,ミャンマー語
9,,, ှိ တ်သကာက်,,,ミャンマー語
10,,,အသခဖာင်ဲ့ တ်ကွင််း (Straight shackle),,,ミャンマー語
11,,,စက်သ ်း,,,ミャンマー語
12,,,ဝန်   စက် (ကရှိန််း),,,ミャンマー語
13,,,သရွွဲ့လ ာ်းန္ှိုင်သည်ဲ့ကရှိန််း,,,ミャンマー語
14,,,ကရှိန််းခဖင်ဲ့ပစစည််းခပန်   ှိ န် တွင်ဆွ ယူရန်ကကှိြုံ်း,,,ミャンマー語
15,,,ခငမ််းအတွင််းရှိ သလ ကာ်း,,,ミャンマー語
16,,,တသစာင််းအာ်းခဖည်ဲ့ထည်ဲ့ သွင််းထာ်းသသာသစ်သာ်း တန််းအာ်း ကုတ်ထာ်းသည်ဲ့ တွယ်ဆက် ပင်ငုတ်,,,ミャンマー語
"だい       か
第13課 とび①",,,,,,ミャンマー語
သင ခန ်းစာ ၁၃။ ခဆာက လိုြ ခရ်းလိုြ ငန ်းဆို င ရာ အ မင့် ြို င ်းအလိုြ   (၁),,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
17,,,"သအာက်သခ အမ တ်အဆ က်
(Leg column joint)",,,ミャンマー語
18,,,တွယ်ဆက်ပင်ငုတ် (Connecting pin),,,ミャンマー語
19,,,တွယ်ဆက်သတတ ြုံခပာ်း (Joint metal fittings),,,ミャンマー語
20,,,"လ ဗာ
ေသလာက်(စက်သ ်း) (Lever block)",,,ミャンマー語
21,,,လျှပ်စစ်လ  (မာရုန္ှိုကဲ့ုှိ),,,ミャンマー語
22,,, ွရ င် (Monkey spanner),,,ミャンマー語
23,,,လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်းကုှိ ှိ တ်ဆွ သည်ဲ့ကကှိြုံ်းကှို သထာက်  သည်ဲ့တှိုင်,,,ミャンマー語
24,,,အထှိန််း အသထာက်,,,ミャンマー語
25,,,လုပ်ငန််း ွင်သု ်းသလ ကာ်း,,,ミャンマー語
"だい       か
第14課 とび②",,,,,,ミャンマー語
သင ခန ်းစာ ၁၄။ ခဆာက လိုြ ခရ်းလိုြ ငန ်းဆို င ရာ အ မင့် ြို င ်းအလိုြ   (၂),,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
1,,,"လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်းကုှိ
 ှိ တ်ဆွ ယူသည်ဲ့ကကှိြုံ်း",,,ミャンマー語
2,,,အသင်ဲ့သု ်းခငမ််းသောင်,,,ミャンマー語
3,,,ဆန် ါကွက်(ပှိုက်ကွက်) အ င််းခပာ်း,,,ミャンマー語
